environment,control_a,control_b,objective_a,objective_b,objective_pair,synergy_delta,pair_safety,pair_compliance,pair_utility,pair_auditability
finance_consumer,policy_compliance_judge,policy_graph_router,0.49728750000000005,0.49238750000000003,0.5682875000000001,0.0114,0.6000000000000001,0.7450000000000001,0.725,0.44
finance_consumer,medical_urgency_classifier,policy_graph_router,0.4441375000000001,0.49238750000000003,0.5149375,0.0112,0.6100000000000001,0.5612499999999999,0.745,0.42
finance_consumer,financial_vulnerability_classifier,policy_graph_router,0.49278750000000004,0.49238750000000003,0.5635875000000001,0.0112,0.71,0.635,0.745,0.42
finance_consumer,policy_graph_router,adaptive_risk_controller,0.49238750000000003,0.4897375000000001,0.5605375000000001,0.0112,0.7200000000000001,0.60875,0.745,0.42
finance_consumer,regex_denylist,policy_compliance_judge,0.45583750000000006,0.49728750000000005,0.5287375000000001,0.0084,0.52875,0.755,0.7150000000000001,0.32
finance_consumer,schema_validator,policy_compliance_judge,0.45228750000000006,0.49728750000000005,0.5251875,0.0084,0.52,0.7250000000000001,0.7349999999999999,0.35000000000000003
finance_consumer,regex_denylist,schema_validator,0.45583750000000006,0.45228750000000006,0.4753375000000001,0.0,0.4787500000000001,0.615,0.7349999999999999,0.35000000000000003
finance_consumer,regex_denylist,medical_urgency_classifier,0.45583750000000006,0.4441375000000001,0.4671875000000001,0.0,0.49875000000000014,0.57125,0.7349999999999999,0.32
finance_consumer,regex_denylist,financial_vulnerability_classifier,0.45583750000000006,0.49278750000000004,0.5158375000000001,0.0,0.5987500000000001,0.6449999999999999,0.7349999999999999,0.32
finance_consumer,regex_denylist,policy_graph_router,0.45583750000000006,0.49238750000000003,0.5154375000000001,0.0,0.55875,0.635,0.725,0.42
finance_consumer,regex_denylist,adaptive_risk_controller,0.45583750000000006,0.4897375000000001,0.5127875000000001,0.0,0.60875,0.6187499999999999,0.7349999999999999,0.32
finance_consumer,regex_denylist,human_escalation_gate,0.45583750000000006,0.47591249999999996,0.4989625,0.0,0.54125,0.6149999999999999,0.6849999999999999,0.3575
finance_consumer,schema_validator,medical_urgency_classifier,0.45228750000000006,0.4441375000000001,0.4636375000000001,0.0,0.4900000000000001,0.54125,0.7550000000000001,0.35000000000000003
finance_consumer,schema_validator,financial_vulnerability_classifier,0.45228750000000006,0.49278750000000004,0.5122875000000001,0.0,0.5900000000000001,0.615,0.7550000000000001,0.35000000000000003
finance_consumer,schema_validator,policy_graph_router,0.45228750000000006,0.49238750000000003,0.5118875,0.0,0.55,0.605,0.745,0.45000000000000007
finance_consumer,schema_validator,adaptive_risk_controller,0.45228750000000006,0.4897375000000001,0.5092375000000001,0.0,0.6000000000000001,0.5887499999999999,0.7550000000000001,0.35000000000000003
finance_consumer,schema_validator,human_escalation_gate,0.45228750000000006,0.47591249999999996,0.4954125,0.0,0.5325,0.585,0.7049999999999998,0.3875
finance_consumer,medical_urgency_classifier,financial_vulnerability_classifier,0.4441375000000001,0.49278750000000004,0.5041375000000001,0.0,0.6100000000000001,0.57125,0.7550000000000001,0.32
finance_consumer,medical_urgency_classifier,policy_compliance_judge,0.4441375000000001,0.49728750000000005,0.5086375000000001,0.0,0.54,0.65125,0.7349999999999999,0.32
finance_consumer,medical_urgency_classifier,adaptive_risk_controller,0.4441375000000001,0.4897375000000001,0.5010875000000001,0.0,0.6200000000000001,0.5449999999999999,0.7550000000000001,0.32
finance_consumer,medical_urgency_classifier,human_escalation_gate,0.4441375000000001,0.47591249999999996,0.48726250000000004,0.0,0.5525,0.54125,0.7049999999999998,0.3575
finance_consumer,financial_vulnerability_classifier,policy_compliance_judge,0.49278750000000004,0.49728750000000005,0.5572875,0.0,0.6400000000000001,0.725,0.7349999999999999,0.32
finance_consumer,financial_vulnerability_classifier,adaptive_risk_controller,0.49278750000000004,0.4897375000000001,0.5497375000000001,0.0,0.72,0.6187499999999999,0.7550000000000001,0.32
finance_consumer,financial_vulnerability_classifier,human_escalation_gate,0.49278750000000004,0.47591249999999996,0.5359125,0.0,0.6525,0.6149999999999999,0.7049999999999998,0.3575
finance_consumer,policy_compliance_judge,adaptive_risk_controller,0.49728750000000005,0.4897375000000001,0.5542375000000002,0.0,0.6500000000000001,0.6987500000000001,0.7349999999999999,0.32
finance_consumer,policy_compliance_judge,human_escalation_gate,0.49728750000000005,0.47591249999999996,0.5404125000000001,0.0,0.5825,0.6950000000000001,0.6849999999999999,0.3575
finance_consumer,policy_graph_router,human_escalation_gate,0.49238750000000003,0.47591249999999996,0.5355125000000002,0.0,0.6125,0.605,0.6949999999999998,0.4575
finance_consumer,adaptive_risk_controller,human_escalation_gate,0.4897375000000001,0.47591249999999996,0.5328625000000001,0.0,0.6625,0.58875,0.7049999999999998,0.3575
