compliance,control,environment,objective,rank,safety,utility
0.54875,medical_urgency_classifier,healthcare_strict,0.5067250000000001,1,0.6450000000000001,0.7612500000000001
0.56,adaptive_risk_controller,healthcare_strict,0.49817500000000015,2,0.6075,0.7612500000000001
0.5687499999999999,policy_graph_router,healthcare_strict,0.49812500000000004,3,0.5650000000000001,0.75125
0.6487499999999999,policy_compliance_judge,healthcare_strict,0.495425,4,0.535,0.7412499999999999
0.54875,human_escalation_gate,healthcare_strict,0.48219999999999996,5,0.5475,0.7112499999999999
0.645,policy_compliance_judge,finance_consumer,0.49728750000000005,1,0.52,0.7349999999999999
0.565,financial_vulnerability_classifier,finance_consumer,0.49278750000000004,2,0.5900000000000001,0.7550000000000001
0.5549999999999999,policy_graph_router,finance_consumer,0.49238750000000003,3,0.55,0.745
0.53875,adaptive_risk_controller,finance_consumer,0.4897375000000001,4,0.6000000000000001,0.7550000000000001
0.515,audit_logger,finance_consumer,0.4786875000000001,5,0.4700000000000001,0.7550000000000001
0.585,policy_graph_router,adversarial,0.5092500000000001,1,0.6033333333333334,0.745
0.5650000000000001,adaptive_risk_controller,adversarial,0.5018500000000001,2,0.64,0.755
0.6316666666666667,policy_compliance_judge,adversarial,0.4799166666666667,3,0.52,0.7349999999999999
0.595,regex_denylist,adversarial,0.47150000000000003,4,0.545,0.7349999999999999
0.515,audit_logger,adversarial,0.4700500000000001,5,0.47000000000000003,0.755
